iter,tr_rmse,va_rmse,obj,time
0,1.1917,1.0546,1.9355e+06,0.05
1,1.0582,1.0485,1.9021e+06,0.12
2,1.0476,1.0498,1.8996e+06,0.19
3,1.0452,1.0478,1.8979e+06,0.26
4,1.0439,1.0444,1.8966e+06,0.32
5,1.0427,1.0463,1.8961e+06,0.37
6,1.0418,1.0468,1.8957e+06,0.43
7,1.0415,1.0444,1.8950e+06,0.48
8,1.0409,1.0448,1.8949e+06,0.55
9,1.0405,1.0449,1.8947e+06,0.62
10,1.0403,1.0420,1.8941e+06,0.68
11,1.0393,1.0439,1.8947e+06,0.73
12,1.0393,1.0450,1.8938e+06,0.80
13,1.0395,1.0423,1.8938e+06,0.85
14,1.0391,1.0443,1.8935e+06,0.91
15,1.0389,1.0439,1.8935e+06,0.97
16,1.0390,1.0424,1.8933e+06,1.02
17,1.0384,1.0429,1.8933e+06,1.07
18,1.0385,1.0415,1.8931e+06,1.12
19,1.0381,1.0433,1.8931e+06,1.17
20,1.0386,1.0405,1.8930e+06,1.22
21,1.0377,1.0423,1.8931e+06,1.27
22,1.0381,1.0416,1.8929e+06,1.32
23,1.0378,1.0425,1.8928e+06,1.37
24,1.0374,1.0437,1.8929e+06,1.42
25,1.0376,1.0441,1.8930e+06,1.48
26,1.0374,1.0438,1.8929e+06,1.54
27,1.0376,1.0425,1.8926e+06,1.59
28,1.0374,1.0424,1.8927e+06,1.64
29,1.0372,1.0412,1.8927e+06,1.70
30,1.0371,1.0417,1.8926e+06,1.75
31,1.0372,1.0413,1.8925e+06,1.80
32,1.0369,1.0426,1.8925e+06,1.84
33,1.0372,1.0410,1.8925e+06,1.90
34,1.0367,1.0418,1.8925e+06,1.95
35,1.0371,1.0424,1.8924e+06,2.01
36,1.0368,1.0419,1.8923e+06,2.06
37,1.0368,1.0418,1.8924e+06,2.11
38,1.0367,1.0424,1.8924e+06,2.15
39,1.0368,1.0412,1.8923e+06,2.22
40,1.0365,1.0428,1.8923e+06,2.27
41,1.0367,1.0418,1.8923e+06,2.32
42,1.0363,1.0417,1.8923e+06,2.37
43,1.0366,1.0420,1.8923e+06,2.43
