iter,tr_rmse,va_rmse,obj,time
0,0.9706,1.0080,6.1194e+07,1.87
1,0.9031,0.9687,5.7386e+07,3.83
2,0.8715,0.9511,5.6123e+07,5.80
3,0.8554,0.9424,5.5514e+07,8.01
4,0.8462,0.9377,5.5186e+07,10.15
5,0.8404,0.9345,5.4979e+07,12.16
6,0.8363,0.9329,5.4848e+07,14.46
7,0.8332,0.9311,5.4735e+07,16.60
8,0.8306,0.9301,5.4647e+07,18.61
9,0.8282,0.9293,5.4580e+07,20.64
10,0.8262,0.9285,5.4504e+07,22.68
11,0.8244,0.9279,5.4452e+07,24.69
12,0.8228,0.9274,5.4396e+07,26.70
13,0.8213,0.9268,5.4348e+07,28.72
14,0.8200,0.9267,5.4309e+07,30.72
15,0.8188,0.9264,5.4278e+07,32.72
16,0.8177,0.9261,5.4247e+07,34.72
17,0.8168,0.9259,5.4219e+07,36.77
18,0.8158,0.9257,5.4190e+07,38.80
19,0.8151,0.9256,5.4168e+07,41.13
20,0.8143,0.9255,5.4147e+07,43.10
21,0.8136,0.9255,5.4130e+07,45.08
22,0.8130,0.9252,5.4107e+07,47.10
23,0.8123,0.9253,5.4099e+07,49.14
24,0.8119,0.9252,5.4078e+07,51.19
25,0.8113,0.9252,5.4067e+07,53.23
26,0.8108,0.9252,5.4059e+07,55.26
27,0.8104,0.9252,5.4040e+07,57.27
28,0.8100,0.9251,5.4030e+07,59.28
29,0.8095,0.9252,5.4020e+07,61.31
30,0.8092,0.9251,5.4012e+07,63.33
31,0.8089,0.9252,5.4000e+07,65.43
32,0.8085,0.9252,5.3995e+07,67.47
33,0.8081,0.9253,5.3988e+07,69.49
34,0.8079,0.9253,5.3978e+07,71.51
35,0.8076,0.9253,5.3968e+07,73.52
36,0.8073,0.9253,5.3964e+07,75.55
37,0.8071,0.9253,5.3957e+07,77.58
38,0.8068,0.9254,5.3953e+07,79.65
39,0.8065,0.9254,5.3946e+07,81.68
40,0.8064,0.9254,5.3938e+07,83.74
41,0.8061,0.9255,5.3938e+07,85.78
42,0.8059,0.9256,5.3927e+07,87.80
43,0.8057,0.9256,5.3924e+07,89.81
44,0.8055,0.9255,5.3918e+07,91.79
45,0.8053,0.9256,5.3915e+07,93.80
46,0.8051,0.9257,5.3914e+07,95.80
47,0.8049,0.9258,5.3908e+07,97.81
48,0.8047,0.9258,5.3902e+07,99.82
49,0.8046,0.9258,5.3899e+07,101.83
50,0.8044,0.9258,5.3892e+07,103.85
51,0.8043,0.9258,5.3889e+07,105.87
52,0.8041,0.9260,5.3886e+07,107.90
53,0.8040,0.9260,5.3882e+07,109.93
54,0.8038,0.9260,5.3880e+07,111.96
55,0.8036,0.9260,5.3880e+07,113.97
56,0.8035,0.9260,5.3873e+07,115.98
57,0.8034,0.9260,5.3870e+07,118.00
58,0.8032,0.9261,5.3867e+07,120.01
59,0.8031,0.9262,5.3865e+07,122.02
60,0.8030,0.9261,5.3861e+07,124.27
61,0.8029,0.9262,5.3858e+07,126.32
62,0.8027,0.9262,5.3856e+07,128.33
63,0.8026,0.9262,5.3851e+07,130.33
64,0.8025,0.9263,5.3850e+07,132.34
65,0.8024,0.9263,5.3847e+07,134.35
66,0.8023,0.9263,5.3843e+07,136.36
67,0.8021,0.9263,5.3843e+07,138.37
68,0.8020,0.9264,5.3841e+07,140.38
69,0.8019,0.9264,5.3837e+07,142.38
70,0.8018,0.9264,5.3835e+07,144.40
71,0.8017,0.9265,5.3831e+07,146.41
72,0.8016,0.9265,5.3830e+07,148.44
73,0.8015,0.9265,5.3828e+07,150.46
74,0.8014,0.9265,5.3825e+07,152.48
75,0.8013,0.9266,5.3823e+07,154.51
76,0.8012,0.9266,5.3821e+07,156.55
77,0.8011,0.9267,5.3819e+07,158.56
78,0.8010,0.9266,5.3817e+07,160.60
79,0.8009,0.9267,5.3815e+07,162.61
80,0.8008,0.9267,5.3812e+07,164.63
81,0.8007,0.9267,5.3811e+07,166.64
82,0.8007,0.9267,5.3808e+07,168.66
83,0.8006,0.9268,5.3806e+07,170.68
84,0.8005,0.9267,5.3804e+07,172.69
85,0.8004,0.9268,5.3801e+07,174.93
86,0.8003,0.9267,5.3799e+07,176.94
87,0.8002,0.9268,5.3796e+07,178.94
88,0.8002,0.9268,5.3795e+07,180.96
89,0.8001,0.9268,5.3792e+07,182.98
90,0.8000,0.9268,5.3790e+07,185.02
91,0.7999,0.9268,5.3789e+07,187.04
92,0.7998,0.9268,5.3787e+07,189.05
93,0.7997,0.9268,5.3785e+07,191.06
94,0.7996,0.9268,5.3785e+07,193.08
95,0.7995,0.9269,5.3782e+07,195.10
96,0.7995,0.9269,5.3780e+07,197.12
97,0.7994,0.9268,5.3777e+07,199.13
98,0.7993,0.9268,5.3776e+07,201.86
99,0.7992,0.9269,5.3775e+07,204.61
100,0.7991,0.9269,5.3773e+07,207.35
101,0.7991,0.9268,5.3770e+07,209.38
102,0.7990,0.9269,5.3769e+07,211.40
103,0.7989,0.9270,5.3767e+07,213.42
104,0.7988,0.9269,5.3764e+07,215.44
105,0.7987,0.9270,5.3764e+07,217.49
106,0.7986,0.9269,5.3761e+07,219.51
107,0.7986,0.9269,5.3758e+07,221.52
108,0.7985,0.9270,5.3758e+07,223.55
109,0.7984,0.9270,5.3755e+07,225.57
110,0.7983,0.9269,5.3754e+07,227.58
111,0.7982,0.9270,5.3753e+07,229.75
112,0.7982,0.9270,5.3751e+07,231.75
113,0.7981,0.9270,5.3749e+07,233.75
114,0.7980,0.9270,5.3747e+07,235.75
115,0.7979,0.9270,5.3744e+07,237.91
116,0.7979,0.9270,5.3743e+07,239.92
117,0.7978,0.9270,5.3742e+07,241.94
118,0.7977,0.9270,5.3741e+07,243.95
119,0.7976,0.9269,5.3738e+07,245.97
120,0.7976,0.9270,5.3737e+07,247.99
121,0.7975,0.9270,5.3735e+07,250.05
122,0.7974,0.9270,5.3735e+07,252.05
123,0.7973,0.9270,5.3732e+07,254.05
124,0.7973,0.9270,5.3729e+07,256.04
125,0.7972,0.9270,5.3729e+07,258.07
126,0.7971,0.9270,5.3728e+07,260.06
127,0.7970,0.9270,5.3725e+07,262.06
128,0.7970,0.9270,5.3724e+07,264.09
129,0.7969,0.9270,5.3721e+07,266.09
130,0.7968,0.9270,5.3721e+07,268.09
131,0.7967,0.9270,5.3720e+07,270.09
132,0.7967,0.9270,5.3717e+07,272.07
133,0.7966,0.9270,5.3715e+07,274.08
134,0.7965,0.9270,5.3713e+07,276.10
135,0.7965,0.9270,5.3711e+07,278.09
136,0.7964,0.9270,5.3710e+07,280.12
137,0.7963,0.9270,5.3709e+07,282.16
138,0.7963,0.9269,5.3707e+07,284.21
139,0.7962,0.9270,5.3706e+07,286.20
140,0.7961,0.9269,5.3703e+07,288.24
141,0.7960,0.9270,5.3702e+07,290.24
142,0.7960,0.9269,5.3701e+07,292.26
143,0.7959,0.9270,5.3699e+07,294.81
144,0.7959,0.9269,5.3698e+07,297.36
145,0.7958,0.9270,5.3696e+07,299.90
146,0.7957,0.9270,5.3696e+07,302.44
147,0.7957,0.9269,5.3693e+07,304.98
148,0.7956,0.9269,5.3692e+07,307.53
149,0.7955,0.9269,5.3691e+07,310.06
150,0.7954,0.9269,5.3690e+07,312.60
151,0.7954,0.9269,5.3689e+07,314.85
152,0.7953,0.9269,5.3686e+07,317.10
153,0.7952,0.9269,5.3686e+07,319.35
154,0.7952,0.9269,5.3684e+07,321.60
155,0.7951,0.9269,5.3682e+07,323.86
156,0.7951,0.9269,5.3680e+07,326.11
157,0.7950,0.9269,5.3680e+07,328.36
158,0.7949,0.9269,5.3678e+07,330.60
159,0.7949,0.9269,5.3677e+07,332.84
160,0.7948,0.9269,5.3676e+07,335.10
161,0.7947,0.9269,5.3675e+07,337.35
162,0.7947,0.9269,5.3675e+07,339.59
163,0.7946,0.9269,5.3672e+07,341.84
164,0.7946,0.9269,5.3670e+07,343.96
165,0.7945,0.9269,5.3669e+07,345.97
166,0.7944,0.9269,5.3669e+07,347.99
167,0.7944,0.9269,5.3667e+07,349.99
168,0.7943,0.9269,5.3666e+07,352.00
169,0.7943,0.9269,5.3665e+07,354.02
170,0.7942,0.9268,5.3663e+07,356.03
171,0.7942,0.9268,5.3662e+07,358.05
172,0.7941,0.9269,5.3662e+07,360.05
173,0.7940,0.9268,5.3660e+07,362.07
174,0.7940,0.9269,5.3659e+07,364.09
175,0.7939,0.9268,5.3657e+07,366.10
176,0.7939,0.9268,5.3657e+07,368.12
177,0.7938,0.9268,5.3655e+07,370.12
178,0.7938,0.9268,5.3654e+07,372.14
179,0.7937,0.9268,5.3653e+07,374.15
180,0.7937,0.9268,5.3651e+07,376.15
181,0.7936,0.9268,5.3650e+07,378.15
182,0.7935,0.9268,5.3649e+07,380.16
183,0.7935,0.9268,5.3648e+07,382.17
184,0.7934,0.9268,5.3647e+07,384.17
185,0.7934,0.9267,5.3645e+07,386.20
186,0.7933,0.9268,5.3645e+07,388.19
187,0.7933,0.9267,5.3643e+07,390.18
188,0.7932,0.9268,5.3642e+07,392.18
189,0.7932,0.9267,5.3641e+07,394.18
190,0.7931,0.9268,5.3640e+07,396.18
191,0.7931,0.9268,5.3640e+07,398.17
192,0.7930,0.9268,5.3638e+07,400.17
193,0.7930,0.9267,5.3637e+07,402.17
194,0.7929,0.9267,5.3636e+07,404.17
195,0.7929,0.9267,5.3635e+07,406.17
196,0.7928,0.9268,5.3634e+07,408.18
197,0.7928,0.9267,5.3633e+07,410.18
198,0.7927,0.9267,5.3633e+07,412.18
199,0.7927,0.9267,5.3631e+07,414.19
200,0.7926,0.9267,5.3631e+07,416.19
201,0.7926,0.9267,5.3629e+07,418.19
202,0.7925,0.9267,5.3628e+07,420.24
203,0.7925,0.9267,5.3627e+07,422.24
204,0.7924,0.9267,5.3625e+07,424.26
205,0.7924,0.9267,5.3625e+07,426.26
206,0.7923,0.9267,5.3625e+07,428.30
207,0.7923,0.9266,5.3623e+07,430.30
208,0.7923,0.9267,5.3622e+07,432.31
209,0.7922,0.9267,5.3621e+07,434.33
210,0.7922,0.9267,5.3620e+07,436.33
211,0.7921,0.9267,5.3620e+07,438.34
212,0.7921,0.9266,5.3618e+07,440.34
213,0.7920,0.9267,5.3618e+07,442.34
214,0.7919,0.9267,5.3617e+07,444.33
215,0.7919,0.9266,5.3615e+07,446.34
216,0.7919,0.9266,5.3615e+07,448.62
