iter,time,#cg,#ls,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,1.336,2,1,2215718.870,2.226345,108819.199166,88968.654115,62659.370347,2211137.424
2,2.036,1,0,1188664.857,1.633276,28474.709996,21320.001692,18875.026813,1185263.780
3,3.937,5,0,459312.370,1.021173,12616.011625,8950.068832,8891.570009,455468.448
4,7.294,9,0,380467.695,0.930725,3263.256075,2144.634760,2459.549136,376658.485
5,13.866,20,0,338116.186,0.908645,2784.437288,2093.902376,1835.392016,333893.975
6,20.837,20,0,288370.837,0.982892,7066.017935,5524.802556,4405.129531,281298.763
7,27.347,20,0,214802.337,0.922507,2735.055950,2251.922996,1552.215794,208303.001
8,34.081,20,0,196335.355,0.952352,2127.389282,1618.583287,1380.569919,189290.009
9,40.478,20,0,184034.434,0.962868,1957.486122,1475.737820,1286.059797,176865.439
10,46.917,20,0,175586.652,0.970811,1449.401603,1110.614524,931.289635,168316.449
11,53.413,20,0,169874.065,0.981599,1409.552482,1162.762619,796.756733,162504.867
12,59.767,20,0,165527.584,0.989031,1145.511364,890.050595,721.114570,158093.426
13,66.131,20,0,162319.864,0.998174,955.997861,762.908075,576.110389,154806.858
14,72.744,20,0,159742.093,1.005274,880.842924,726.462380,498.133182,152177.692
15,79.283,20,0,157702.177,1.013042,765.049599,594.584178,481.425534,150072.563
16,86.311,20,0,155990.872,1.019620,713.477014,562.742232,438.600763,148317.171
17,93.610,20,0,154574.481,1.026362,633.941674,498.282398,391.914146,146845.429
18,101.738,20,0,153350.686,1.032419,601.932091,477.066677,367.055346,145582.676
19,110.915,20,0,152309.695,1.038283,541.068697,364.794172,399.600485,144494.105
20,119.277,20,0,151397.395,1.043702,510.795497,376.982280,344.668537,143547.919
21,128.220,20,0,150602.667,1.048913,481.865493,296.855073,379.567411,142710.565
22,136.864,20,0,149893.369,1.053819,473.359825,319.170458,349.570798,141971.005
23,144.773,20,0,149264.638,1.058489,446.452437,241.469862,375.515757,141304.719
24,152.971,20,0,148697.334,1.062932,428.534302,248.915048,348.830829,140709.930
25,160.624,20,0,148186.867,1.067202,419.774592,211.505536,362.596354,140165.260
26,168.102,20,0,147720.711,1.071274,402.149763,210.700274,342.534417,139673.827
27,175.749,20,0,147296.334,1.075220,401.109443,184.747299,356.029804,139218.181
28,182.957,20,0,146905.592,1.078974,377.846253,182.145143,331.045221,138803.943
29,190.501,20,0,146546.411,1.082648,387.409174,169.587263,348.318860,138415.958
30,198.687,20,0,146213.338,1.086128,354.968785,163.429927,315.108707,138060.820
31,206.584,20,0,145904.237,1.089583,383.681444,174.765203,341.567818,137724.915
32,213.740,20,0,145616.039,1.092827,331.316126,151.215612,294.795207,137415.836
33,222.108,20,0,145343.408,1.096171,434.454284,277.141010,334.579416,137117.714
34,230.512,20,0,145087.506,1.099238,319.253951,146.091780,283.866654,136841.584
35,238.376,20,0,144822.109,1.103082,496.139700,349.520392,352.122276,136547.798
36,245.552,20,0,144577.987,1.105926,253.741341,158.453244,198.184857,136284.575
37,253.385,20,0,144361.273,1.109019,348.580095,262.269635,229.614287,136045.047
38,260.807,20,0,144158.454,1.111755,223.834215,146.557475,169.182334,135823.489
39,269.077,20,0,143968.038,1.114552,308.613840,202.522239,232.867440,135612.653
40,276.865,20,0,143788.814,1.117160,218.251838,131.320947,174.323474,135415.440
41,285.382,20,0,143618.877,1.119764,290.581108,168.430573,236.787927,135226.386
42,292.981,20,0,143458.131,1.122241,216.779802,118.199482,181.720568,135048.537
43,301.504,20,0,143305.619,1.124671,275.188095,126.459388,244.410538,134878.107
44,309.173,20,0,143160.821,1.127022,212.745527,104.811417,185.135697,134717.095
45,317.652,20,0,143022.735,1.129314,262.555073,109.606611,238.582391,134561.915
46,324.860,20,0,142891.067,1.131557,207.700320,98.248946,182.993354,134414.853
47,333.790,20,0,142765.127,1.133722,250.784190,109.084740,225.816805,134272.615
48,341.107,20,0,142644.667,1.135869,202.010017,94.194258,178.705033,134137.442
49,349.415,20,0,142528.953,1.137928,245.148357,107.634950,220.255385,134006.141
50,357.280,20,0,142417.943,1.139994,197.027201,88.406793,176.079405,133880.933
51,365.472,20,0,142311.307,1.141945,233.945871,87.005042,217.165360,133759.449
52,372.945,20,0,142208.848,1.143931,190.809939,83.230244,171.700784,133643.337
53,381.773,20,0,142110.143,1.145788,226.082214,82.669740,210.425477,133530.407
54,389.431,20,0,142015.113,1.147700,185.079128,79.788191,166.997390,133422.216
55,398.068,20,0,141923.405,1.149473,218.709616,79.318174,203.819830,133316.859
56,405.085,20,0,141834.961,1.151313,179.574826,76.709247,162.366283,133215.717
57,413.481,20,0,141749.477,1.153010,211.816142,76.184739,197.640997,133117.115
58,420.798,20,0,141666.906,1.154782,174.350145,73.838324,157.942632,133022.288
59,429.917,20,0,141586.985,1.156408,205.433463,73.113939,191.982446,132929.726
60,437.020,20,0,141509.669,1.158116,169.344620,71.175336,153.660899,132840.587
61,445.489,20,0,141434.740,1.159677,199.488914,70.517687,186.609439,132753.457
62,453.495,20,0,141362.147,1.161324,164.538368,68.862314,149.435123,132669.441
63,461.695,20,0,141291.714,1.162826,193.995374,68.340928,181.559144,132587.225
64,469.800,20,0,141223.384,1.164415,159.950212,66.776912,145.344124,132507.838
65,478.384,20,0,141157.022,1.165861,188.851744,66.462192,176.770354,132430.088
66,486.037,20,0,141092.556,1.167395,155.581870,64.910204,141.394426,132354.910
67,494.251,20,0,141029.898,1.168790,183.957271,64.956067,172.107486,132281.237
68,501.451,20,0,140968.956,1.170271,151.393037,63.356764,137.498262,132209.905
69,509.942,20,0,140909.681,1.171617,179.131987,64.291804,167.196988,132139.970
70,518.704,20,0,140851.965,1.173049,147.247170,62.371996,133.384644,132072.172
71,527.376,20,0,140795.796,1.174348,174.074014,65.188099,161.407169,132005.676
72,535.873,20,0,140741.044,1.175733,143.076578,61.877924,129.003991,131941.141
73,543.919,20,0,140687.728,1.176989,169.068240,66.472673,155.452416,131877.815
74,551.450,20,0,140635.700,1.178328,139.259114,61.145551,125.117235,131816.287
75,559.612,20,0,140585.001,1.179543,164.771092,66.490610,150.759781,131755.876
76,566.892,20,0,140535.474,1.180840,135.977758,59.979632,122.034399,131697.119
77,575.312,20,0,140487.184,1.182016,161.165637,65.308261,147.340400,131639.399
78,582.822,20,0,140439.964,1.183273,133.153491,58.432628,119.647316,131583.204
79,591.914,20,0,140393.901,1.184413,158.117378,62.846186,145.091220,131527.982
80,600.545,20,0,140348.823,1.185630,130.756834,56.297916,118.016500,131474.171
81,609.445,20,0,140304.834,1.186735,155.484524,58.447963,144.080786,131421.287
82,617.580,20,0,140261.760,1.187915,128.628922,53.554205,116.950188,131369.716
83,626.109,20,0,140219.719,1.188986,152.649903,53.405871,143.002818,131319.037
84,634.249,20,0,140178.524,1.190130,126.167858,51.595771,115.135594,131269.572
85,643.051,20,0,140138.295,1.191170,149.474470,51.402815,140.357999,131220.943
86,650.593,20,0,140098.842,1.192278,123.602773,50.498959,112.816225,131173.431
87,659.672,20,0,140060.293,1.193289,146.540328,50.313635,137.632139,131126.708
88,667.179,20,0,140022.461,1.194365,121.149362,49.481150,110.583831,131081.025
89,675.682,20,0,139985.480,1.195347,143.726935,49.284201,135.012960,131036.088
90,683.293,20,0,139949.165,1.196391,118.802312,48.507131,108.448364,130992.121
91,692.162,20,0,139913.650,1.197346,141.029631,48.284111,132.506609,130948.860
92,699.653,20,0,139878.754,1.198360,116.557446,47.561868,106.411968,130906.505
93,708.112,20,0,139844.613,1.199290,138.445853,47.293434,130.117582,130864.817
94,716.472,20,0,139811.047,1.200274,114.411680,46.634453,104.476124,130823.977
95,725.577,20,0,139778.193,1.201179,135.972191,46.302171,127.845789,130783.769
96,733.171,20,0,139745.876,1.202136,112.361543,45.722834,102.637902,130744.357
97,741.591,20,0,139714.231,1.203018,133.603213,45.316840,125.682945,130705.540
98,748.904,20,0,139683.087,1.203947,110.402098,44.834826,100.888362,130667.475
99,756.909,20,0,139652.578,1.204807,131.331320,44.359021,123.613078,130629.970
100,764.449,20,0,139622.537,1.205711,108.527035,43.984230,99.214438,130593.176
