iter,time,#cg,#ls,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,5.649,4,0,35158203.536,2.459921,214895.744076,156079.884411,147713.406649,21329411.192
2,19.198,10,1,25138105.928,2.249951,287141.079407,75671.788925,276990.577175,14929491.191
3,26.139,5,0,21803800.724,1.792165,93825.980718,49936.081670,79433.635226,7963242.046
4,51.110,20,0,20684495.807,1.609231,290926.470832,13756.079802,290601.069680,7286383.458
5,55.910,3,0,19626142.161,1.314539,81243.411333,24272.432591,77532.837567,4869698.074
6,80.124,20,0,19140573.629,1.145604,35554.661556,23388.742936,26778.735263,5114873.117
7,103.090,20,0,18934616.493,1.165760,34763.584079,6036.205450,34235.522514,4870461.282
8,126.269,19,0,18876991.213,1.091630,12168.925582,6043.135702,10562.351097,4693650.359
9,150.154,20,0,18850187.808,1.095282,14414.851796,3648.828619,13945.393576,4688471.169
10,174.800,20,0,18834421.340,1.063670,7687.622933,3193.481438,6992.940917,4631704.327
11,198.531,20,0,18826565.279,1.068843,7519.614721,2201.154791,7190.238044,4640612.990
12,223.765,20,0,18821164.598,1.052340,4930.887692,1968.586745,4520.875984,4612401.437
13,247.830,20,0,18818135.823,1.056183,4811.706488,1475.913482,4579.759679,4617398.629
14,272.500,20,0,18815854.183,1.046324,3407.193829,1313.060193,3144.016972,4601159.410
15,297.892,20,0,18814451.464,1.049741,3240.568682,1035.615357,3070.632868,4607018.300
16,323.474,20,0,18813340.994,1.043368,2521.806863,954.716304,2334.100819,4596793.435
17,348.198,20,0,18812590.240,1.046351,2331.456863,772.129333,2199.888042,4601806.485
18,373.507,20,0,18811971.474,1.041904,1989.163128,740.906596,1846.030164,4594755.101
19,397.624,20,0,18811515.811,1.044398,1818.260614,607.653395,1713.717892,4598696.968
20,422.525,20,0,18811129.942,1.041073,1685.965906,600.860018,1575.261336,4593529.295
21,447.516,20,0,18810827.030,1.043255,1498.812975,497.528686,1413.826560,4596816.537
22,472.523,20,0,18810564.883,1.040649,1480.229591,503.245565,1392.057306,4592923.958
23,496.736,20,0,18810348.798,1.042532,1255.308999,418.853551,1183.369083,4595509.234
24,523.086,20,0,18810162.152,1.040401,1193.330639,429.735977,1113.267714,4592420.587
25,548.481,20,0,18810004.909,1.042081,1092.553264,357.170492,1032.522094,4594800.818
26,574.701,20,0,18809868.031,1.040269,1002.090781,369.485092,931.486286,4591925.004
27,599.745,20,0,18809749.863,1.041750,943.413284,309.844783,891.080711,4594063.432
28,624.824,20,0,18809645.840,1.040204,977.697207,319.097540,924.158314,4591588.237
29,649.554,20,0,18809553.837,1.041544,829.149441,270.486823,783.789305,4593642.403
30,675.914,20,0,18809472.675,1.040264,854.054201,279.225475,807.119392,4591596.735
31,700.636,20,0,18809400.461,1.041365,734.735207,236.681912,695.569908,4593263.305
32,726.101,20,0,18809337.137,1.040285,679.094018,244.964287,633.372863,4591440.040
33,751.025,20,0,18809280.816,1.041226,651.810190,208.424652,617.588607,4592977.497
34,776.140,20,0,18809230.737,1.040332,617.312674,215.407044,578.510798,4591299.356
35,800.676,20,0,18809185.636,1.041124,594.707432,186.570739,564.684239,4592794.014
