iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,11.613,8,3,9421570.699,2.116124,216004.015644,29612.610841,213964.548590,8415157.590
2,27.466,11,6,5064448.518,1.292541,93867.551806,8365.957585,93493.999999,4029346.870
3,59.692,17,20,4193322.088,0.940686,81495.774951,4175.624092,81388.730782,3167183.977
4,94.926,20,20,3610950.270,0.912096,64252.283242,3663.792623,64147.739831,2537413.211
5,131.034,20,20,3298094.233,0.926881,49055.191726,3322.949820,48942.515667,2250091.597
6,166.207,20,20,3117111.659,0.939354,42722.440806,2946.919636,42620.682926,2106883.126
7,201.451,20,20,3001721.763,0.951238,37115.470164,2756.657872,37012.956689,2025407.990
8,220.113,10,10,2953260.935,0.950847,20164.660027,2290.793222,20034.115414,2004144.611
9,255.746,20,20,2875898.265,0.970419,34055.859719,2773.671064,33942.721312,1952499.616
10,272.370,10,7,2835408.255,0.967523,18041.439134,2162.940665,17911.315242,1936371.373
11,309.394,20,20,2775429.827,0.981719,31198.754181,2481.939534,31099.875218,1899078.661
12,326.782,10,7,2743048.893,0.979417,16337.694874,1978.147075,16217.496970,1887569.555
13,364.282,20,20,2698273.235,0.988966,21994.453790,2443.061679,21858.349598,1863293.520
14,379.465,8,7,2674071.067,0.987303,14435.383966,1893.036918,14310.720509,1855868.384
15,416.326,20,20,2636669.505,0.996260,22510.811199,2282.821231,22394.761621,1836045.541
16,431.245,8,7,2615546.000,0.994511,13404.912319,1823.942279,13280.245060,1829489.544
17,468.050,20,20,2584300.597,1.001093,19076.641016,2188.535992,18950.687130,1813785.882
18,482.790,8,7,2566309.306,0.999657,12011.070843,1750.312133,11882.854464,1808649.934
19,502.241,13,7,2551645.038,1.000078,11519.027047,1728.614074,11388.585404,1806737.826
20,512.095,6,3,2542581.094,0.999104,10029.419095,1116.584720,9967.070078,1807207.704
21,548.639,20,20,2519601.681,1.006725,18341.712625,2251.060272,18203.053306,1792796.188
22,562.865,8,6,2503891.586,1.005250,11969.554015,1673.161148,11852.035905,1788554.099
23,580.038,11,6,2492360.780,1.004692,10413.370188,1615.311321,10287.324629,1787200.063
24,596.068,9,7,2482394.132,1.004669,10231.885524,1598.342531,10106.274413,1786139.727
25,633.004,20,20,2460986.502,1.010648,17041.904105,2212.739177,16897.641281,1774437.661
26,648.126,8,7,2446859.414,1.009427,9159.838183,1643.158478,9011.252174,1770052.044
27,662.708,11,3,2437817.903,1.008855,9723.435592,1196.276175,9649.565950,1770067.210
28,689.735,20,8,2427008.642,1.011649,8838.020516,1690.734362,8674.792444,1767102.464
29,702.378,8,4,2419206.777,1.010427,7800.076129,1159.480682,7713.416374,1766590.811
30,729.186,9,20,2404561.047,1.013311,15505.144216,2084.606058,15364.371603,1756004.033
31,743.432,8,6,2393377.470,1.012692,9456.707745,1530.497954,9332.036079,1753081.177
32,769.601,20,7,2382378.061,1.014000,7456.120088,1554.077107,7292.363890,1751534.161
33,781.674,8,3,2376061.648,1.013084,7853.217597,1032.185524,7785.089573,1751386.972
34,819.322,20,20,2361129.315,1.018301,15681.792437,2103.633496,15540.055990,1740110.424
