iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,34.048,10,3,412141038.918,2.516174,1955557.224139,201976.537084,1945098.849763,192364001.474
2,90.751,13,8,363478281.189,1.763791,706246.074798,68845.706984,702882.484344,106908502.519
3,175.864,19,13,355953998.590,1.513672,210156.721754,23145.464932,208878.278314,95217632.291
4,287.374,20,20,354269634.093,1.458370,119641.110380,14033.109427,118815.264729,93255848.489
5,398.685,20,20,353959665.723,1.433349,72450.706428,6027.589660,72199.536181,91965601.124
6,510.156,20,20,353856459.851,1.425913,43012.566471,5534.175521,42655.055688,91995039.770
7,621.811,20,20,353810376.054,1.418436,32994.692632,3878.825179,32765.903881,91577056.500
8,733.184,20,20,353787357.991,1.417003,20981.690079,2666.969811,20811.501402,91693121.301
9,844.871,20,20,353774664.516,1.413994,17530.259915,1985.146050,17417.497175,91510231.424
10,956.300,20,20,353767110.698,1.413558,12078.562503,1774.883266,11947.445816,91575004.121
11,1067.823,20,20,353762332.068,1.412131,11368.575314,1381.917238,11284.272658,91491059.513
12,1179.272,20,20,353759158.545,1.411936,7660.142817,1272.719392,7553.672836,91523009.006
13,1291.013,20,20,353756974.910,1.411211,6975.509142,1029.116418,6899.177284,91480299.040
14,1402.831,20,20,353755407.535,1.411099,5300.578588,956.786080,5213.510694,91498486.374
15,1514.355,20,20,353754244.525,1.410689,6265.162663,804.106008,6213.346661,91477205.531
16,1625.765,20,20,353753370.497,1.410597,3710.157608,749.988766,3633.563860,91484899.155
17,1737.291,20,20,353752707.273,1.410369,3626.848800,648.893038,3568.328747,91472018.909
18,1849.142,20,20,353752188.926,1.410303,2803.843981,606.170081,2737.535188,91477366.868
19,1960.885,20,20,353751779.332,1.410157,2831.018135,534.413373,2780.119787,91469912.882
20,2072.417,20,20,353751451.513,1.410106,2175.603411,500.747713,2117.191992,91472650.044
21,2184.012,20,20,353751186.949,1.410010,2259.556705,447.137083,2214.873570,91468113.696
22,2295.524,20,20,353750971.357,1.409970,1723.593811,420.734869,1671.453797,91469360.127
23,2406.929,20,20,353750794.539,1.409911,1815.383470,378.676924,1775.449501,91467455.213
24,2518.325,20,20,353750648.364,1.409875,1392.196391,358.130597,1345.345037,91467651.778
25,2629.867,20,20,353750526.879,1.409833,1461.948757,323.437643,1425.721663,91465944.256
26,2741.242,20,20,353750425.198,1.409806,1146.047745,307.826058,1103.933219,91466112.674
27,2852.654,20,20,353750339.711,1.409779,1193.833907,278.449163,1160.907171,91465456.666
28,2964.038,20,20,353750267.380,1.409755,953.421807,266.785808,915.335170,91465149.536
29,3075.638,20,20,353750205.951,1.409736,1000.078101,241.331109,970.523315,91464617.595
30,3187.008,20,20,353750153.499,1.409716,795.025924,232.913406,760.143121,91464296.182
31,3298.367,20,20,353750108.556,1.409704,855.083638,210.496789,828.769648,91464189.297
32,3409.775,20,20,353750069.867,1.409685,671.232083,204.531591,639.311612,91463674.861
33,3521.239,20,20,353750036.474,1.409679,723.313214,184.631901,699.351890,91463707.110
34,3632.680,20,20,353750007.515,1.409662,568.090500,180.603571,538.617830,91463216.249
35,3744.048,20,20,353749982.331,1.409659,622.564703,162.741242,600.917713,91463313.819
36,3855.459,20,20,353749960.344,1.409643,486.167362,160.231741,459.003805,91462898.096
37,3966.938,20,20,353749941.094,1.409642,542.410429,144.153427,522.904258,91462997.600
38,4078.447,20,20,353749924.188,1.409628,418.945196,142.748606,393.875504,91462658.806
39,4189.846,20,20,353749909.294,1.409629,480.005007,128.035260,462.614071,91462698.083
40,4301.134,20,20,353749896.142,1.409616,361.190127,127.652157,337.880503,91462454.755
41,4412.582,20,20,353749884.487,1.409618,433.893367,114.345174,418.555415,91462503.599
42,4523.982,20,20,353749874.145,1.409606,309.113388,114.538985,287.109574,91462312.754
43,4635.287,20,20,353749864.928,1.409609,400.199103,102.217223,386.925007,91462253.530
44,4746.700,20,20,353749856.710,1.409599,268.075272,103.123773,247.446638,91462185.761
45,4858.134,20,20,353749849.350,1.409602,369.619048,91.802698,358.037017,91462196.470
46,4969.603,20,20,353749842.761,1.409592,235.065051,93.109291,215.838453,91462056.532
47,5081.481,20,20,353749836.864,1.409595,295.077206,82.705839,283.249539,91461959.216
48,5192.893,20,20,353749831.557,1.409587,213.670472,84.360116,196.312102,91461967.209
49,5304.369,20,20,353749826.777,1.409590,248.706720,74.781681,237.197666,91461918.066
50,5415.780,20,20,353749822.457,1.409581,191.818631,76.622996,175.850230,91461812.742
51,5527.166,20,20,353749818.545,1.409585,222.330388,67.810832,211.736847,91461785.386
52,5638.541,20,20,353749814.994,1.409577,174.316874,69.809275,159.728012,91461700.994
53,5750.052,20,20,353749811.766,1.409582,199.983420,61.716566,190.222064,91461780.756
54,5861.584,20,20,353749808.824,1.409574,159.829251,63.758420,146.561432,91461599.049
55,5973.044,20,20,353749806.138,1.409579,182.638694,56.351130,173.728071,91461664.109
56,6084.513,20,20,353749803.681,1.409571,147.816000,58.413388,135.784558,91461532.068
57,6195.835,20,20,353749801.430,1.409576,168.213211,51.608998,160.100580,91461605.245
58,6307.329,20,20,353749799.363,1.409569,137.591304,53.663158,126.695037,91461470.426
59,6418.912,20,20,353749797.462,1.409573,155.836877,47.412035,148.449423,91461527.220
60,6530.332,20,20,353749795.710,1.409567,128.777530,49.441875,118.908172,91461422.923
61,6641.768,20,20,353749794.094,1.409571,144.762873,43.685219,138.014097,91461466.939
62,6753.126,20,20,353749792.600,1.409565,120.673001,45.680800,111.692604,91461375.275
63,6864.563,20,20,353749791.217,1.409569,134.884129,40.372646,128.700340,91461407.956
64,6975.931,20,20,353749789.935,1.409564,113.589429,42.313292,105.414153,91461335.707
65,7087.563,20,20,353749788.744,1.409567,126.014503,37.419531,120.330519,91461359.943
66,7198.939,20,20,353749787.637,1.409562,107.116911,39.299081,99.647453,91461297.509
67,7310.373,20,20,353749786.605,1.409566,118.154213,34.781120,112.918961,91461314.563
68,7421.701,20,20,353749785.643,1.409561,101.263767,36.591146,94.421601,91461262.640
69,7533.176,20,20,353749784.745,1.409564,111.179508,32.418017,106.348273,91461277.956
70,7644.658,20,20,353749783.905,1.409560,95.742466,34.151102,89.444519,91461232.718
71,7756.018,20,20,353749783.118,1.409563,105.000184,30.291991,100.535735,91461243.138
72,7867.534,20,20,353749782.381,1.409559,90.647769,31.946500,84.831829,91461204.040
73,7978.971,20,20,353749781.689,1.409562,99.461223,28.376844,95.327276,91461214.562
74,8090.440,20,20,353749781.038,1.409559,85.898258,29.950438,80.507652,91461177.382
75,8201.997,20,20,353749780.426,1.409561,94.596182,26.645164,90.766034,91461186.938
76,8313.333,20,20,353749779.850,1.409558,81.488919,28.134162,76.478185,91461152.689
77,8424.798,20,20,353749779.306,1.409561,89.879439,25.074472,86.310975,91461166.601
