iter,time,#cg_U,#cg_V,obj,test_loss,|G|,|G_U|,|G_V|,loss
1,6.055,0,0,309537.600,1.167952,1233.594030,1233.594030,0.000000,260524.132
2,11.722,0,0,238034.996,1.112381,418.033228,418.033228,0.000000,194184.443
3,17.338,0,0,214335.848,1.107615,294.675430,294.675430,0.000000,173287.207
4,22.822,0,0,201725.724,1.108758,253.011308,253.011308,0.000000,162800.420
5,28.365,0,0,193674.238,1.117497,230.940586,230.940586,0.000000,156397.642
6,33.956,0,0,188035.734,1.128661,216.710909,216.710909,0.000000,152084.900
7,39.540,0,0,183813.827,1.139076,206.397457,206.397457,0.000000,148956.155
8,45.194,0,0,180500.339,1.148530,198.540861,198.540861,0.000000,146562.798
9,51.006,0,0,177811.716,1.157553,192.128321,192.128321,0.000000,144662.766
10,56.476,0,0,175578.884,1.165998,186.534970,186.534970,0.000000,143116.658
11,62.210,0,0,173689.851,1.173828,181.622157,181.622157,0.000000,141833.655
12,68.085,0,0,172064.469,1.181220,177.245687,177.245687,0.000000,140748.784
13,74.083,0,0,170645.546,1.188141,173.310462,173.310462,0.000000,139816.130
14,79.638,0,0,169391.528,1.194516,169.776087,169.776087,0.000000,139002.873
15,84.981,0,0,168271.803,1.200427,166.582878,166.582878,0.000000,138285.344
16,90.399,0,0,167263.476,1.205885,163.657516,163.657516,0.000000,137646.302
17,95.741,0,0,166349.054,1.210877,160.933077,160.933077,0.000000,137072.985
18,101.110,0,0,165514.938,1.215486,158.372244,158.372244,0.000000,136555.708
19,106.446,0,0,164750.121,1.219828,155.970262,155.970262,0.000000,136086.637
20,111.801,0,0,164045.497,1.223961,153.713903,153.713903,0.000000,135659.308
21,117.049,0,0,163393.566,1.227902,151.580498,151.580498,0.000000,135268.454
22,122.315,0,0,162788.010,1.231643,149.562892,149.562892,0.000000,134909.622
23,127.564,0,0,162223.383,1.235164,147.658955,147.658955,0.000000,134578.926
24,132.772,0,0,161694.989,1.238468,145.861736,145.861736,0.000000,134272.983
25,138.147,0,0,161198.823,1.241592,144.159978,144.159978,0.000000,133988.943
26,143.422,0,0,160731.425,1.244544,142.544679,142.544679,0.000000,133724.372
27,148.893,0,0,160289.774,1.247332,141.008128,141.008128,0.000000,133477.118
28,154.346,0,0,159871.240,1.249980,139.547482,139.547482,0.000000,133245.307
29,159.739,0,0,159473.523,1.252514,138.163452,138.163452,0.000000,133027.308
30,165.241,0,0,159094.610,1.254957,136.852771,136.852771,0.000000,132821.687
31,170.547,0,0,158732.773,1.257323,135.605990,135.605990,0.000000,132627.216
